,Job-Titles,Department,Salary-interval,Zip
320,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29430
321,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",9800
322,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",28410
323,ADMINISTRATIVE ASST III,FIRE,"60155.47341914715,89844.52658085285",20133
324,PUBLIC HEALTH NURSE I,HEALTH,"82475.47341914715,112164.52658085285",27410
325,LOAN PROCESSING SPECIALIST,COMMUNITY DEVELOPMENT,"73499.47341914715,103188.52658085285",1110
326,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1480
327,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27680
328,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",29870
329,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",50190
330,PUBLIC HEALTH NUTRITIONIST III,HEALTH,"60155.47341914715,89844.52658085285",20250
331,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",2600
332,LIBRARY ASSOCIATE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",7260
333,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",7230
334,COORDINATING FIRE COMMUNICATIONS OPERATOR,OEMC,"105587.47341914715,135276.52658085286",2160
335,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",20157
336,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",7300
337,FIREFIGHTER/PARAMEDIC,FIRE,"63893.47341914715,93582.52658085285",30350
338,SANITATION LABORER,STREETS & SAN,"60155.47341914715,89844.52658085285",7200
339,SHEET METAL WORKER,GENERAL SERVICES,"74657.87341914714,104346.92658085284",27600
340,EQUIPMENT DISPATCHER,GENERAL SERVICES,"60493.07341914716,90182.12658085286",2680
341,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27800
342,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",33390
343,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"76493.47341914715,106182.52658085285",2500
344,FIRE ENGINEER-EMT,FIRE,"92261.47341914715,121950.52658085285",27310
345,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",3250
346,DEPUTY COMMISSIONER,DISABILITIES,"86819.47341914715,116508.52658085285",31110
347,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1230
348,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",2510
349,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",30760
350,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",27240
351,ACCOUNTING TECHNICIAN III,HEALTH,"69575.47341914715,99264.52658085285",32140
352,STREET LIGHT REPAIR WORKER,TRANSPORTN,"86867.47341914715,116556.52658085285",28310
353,ASST CORPORATION COUNSEL I,LAW,"60155.47341914715,89844.52658085285",32410
354,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",52190
355,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",28300
356,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",1350
357,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32400
358,LABORER - APPRENTICE,WATER MGMNT,"60155.47341914715,89844.52658085285",31470
359,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",27930
360,PUBLIC HEALTH NURSE II,HEALTH,"82475.47341914715,112164.52658085285",31350
361,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7340
362,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",2190
363,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1560
364,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32730
365,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",34290
366,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",31790
367,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",7310
368,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",20228
369,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",32200
370,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",1500
371,OPERATING ENGINEER-GROUP C,AVIATION,"78901.07341914716,108590.12658085286",26750
372,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27390
373,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",33550
374,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,"60155.47341914715,89844.52658085285",1110
375,TESTING SPECIALIST,HUMAN RESOURCES,"60155.47341914715,89844.52658085285",50140
376,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",52150
377,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",2290
378,FILTRATION ENGINEER II,WATER MGMNT,"60155.47341914715,89844.52658085285",27430
379,PROPERTY CUSTODIAN,POLICE,"60155.47341914715,89844.52658085285",27310
380,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",52500
381,AIRPORT MANAGER - O'HARE,AVIATION,"73595.47341914715,103284.52658085285",52360
382,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",52160
383,POLICE TECHNICIAN,POLICE,"76493.47341914715,106182.52658085285",34800
384,LIEUTENANT,POLICE,"112847.47341914715,142536.52658085286",50240
385,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",33540
386,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",2130
387,LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",26420
388,DEPUTY CHIEF,POLICE,"155267.47341914714,184956.52658085286",3140
389,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26770
390,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",6750
391,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",33590
392,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",2360
393,AMBULANCE COMMANDER,FIRE,"110285.47341914715,139974.52658085286",50300
394,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31220
395,PLUMBER,GENERAL SERVICES,"85515.47341914715,115204.52658085285",27210
396,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",31450
397,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2510
398,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",8400
399,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1150
400,CEMENT FINISHER,TRANSPORTN,"77195.47341914715,106884.52658085285",27630
401,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",30360
402,PARKING ENFORCEMENT AIDE,FINANCE,"60155.47341914715,89844.52658085285",50800
403,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",2330
404,TRAFFIC ENFORCEMENT TECH,FINANCE,"60155.47341914715,89844.52658085285",2190
405,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",4110
406,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",4150
407,FIELD SUPVSR,TRANSPORTN,"91571.47341914715,121260.52658085285",50570
408,LIBRARIAN I,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26150
409,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1150
410,RECRUITER,HUMAN RESOURCES,"68843.47341914715,98532.52658085285",27450
411,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",20290
412,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",3290
413,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",20190
414,POLICY ANALYST,HEALTH,"64439.47341914715,94128.52658085285",20219
415,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",6750
416,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",27240
417,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",6670
418,AVIATION SECURITY OFFICER,AVIATION,"70211.47341914715,99900.52658085285",32300
419,SUPERVISING VIDEOGRAPHER,BUSINESS AFFAIRS,"66347.47341914715,96036.52658085285",27910
420,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",7310
421,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",31290
422,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",27230
423,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2590
424,CUSTODIAL WORKER,AVIATION,"60155.47341914715,89844.52658085285",3400
425,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",31120
426,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",51800
427,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2000
428,FILTRATION ENGINEER IV,WATER MGMNT,"95219.47341914715,124908.52658085285",31480
429,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",32290
430,CIVIL ENGINEER IV,TRANSPORTN,"60155.47341914715,89844.52658085285",27190
431,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",32190
432,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",20230
433,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28300
434,OPERATING ENGINEER-GROUP A,AVIATION,"83830.67341914715,113519.72658085285",27110
435,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8270
436,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,"60155.47341914715,89844.52658085285",1300
437,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",33240
438,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26790
439,MANAGER OF POLICE PAYROLLS,POLICE,"87827.47341914715,117516.52658085285",31150
440,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31600
441,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",2400
442,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",33850
443,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",6440
444,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29400
445,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26150
446,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",29100
447,STUDENT INTERN,AVIATION,"60155.47341914715,89844.52658085285",31530
448,SENIOR TELECOMMUNICATIONS SPECIALIST,DoIT,"82211.47341914715,111900.52658085285",20173
449,ASST COMMISSIONER,BUSINESS AFFAIRS,"74231.47341914715,103920.52658085285",52100
450,FIRE ENGINEER-EMT,FIRE,"95369.47341914715,125058.52658085285",20222
451,CEMENT FINISHER,TRANSPORTN,"77195.47341914715,106884.52658085285",28260
452,OPERATING ENGINEER-GROUP A,WATER MGMNT,"83830.67341914715,113519.72658085285",2340
453,PARAMEDIC I/C,FIRE,"82595.47341914715,112284.52658085285",8400
454,CLERK IV,POLICE,"60155.47341914715,89844.52658085285",32110
455,EXPLOSIVES TECHNICIAN I,POLICE,"96407.47341914715,126096.52658085285",7190
456,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",30430
457,DISABILITY SPECIALIST II,DISABILITIES,"69671.47341914715,99360.52658085285",27310
458,FIRE ENGINEER-EMT,FIRE,"92261.47341914715,121950.52658085285",1310
459,WATCHMAN,GENERAL SERVICES,"60155.47341914715,89844.52658085285",7610
460,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",3120
461,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"79679.47341914715,109368.52658085285",30580
462,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",30330
463,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",26770
464,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",3230
465,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",28190
466,POLICE ADMINISTRATIVE CLERK,POLICE,"60155.47341914715,89844.52658085285",26160
467,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",3230
468,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",1130
469,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",52270
470,ALDERMANIC AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",2840
471,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",29600
472,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",31420
473,STAFF ASST,FINANCE,"77747.47341914715,107436.52658085285",27560
474,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",8450
475,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",27180
476,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",28300
477,ACCOUNTANT IV,FINANCE,"85931.47341914715,115620.52658085285",26120
478,TRAFFIC CONTROL AIDE,OEMC,"60155.47341914715,89844.52658085285",51800
479,ADMINISTRATIVE ASST II,AVIATION,"60155.47341914715,89844.52658085285",27320
480,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",50600
481,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2700
482,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",3400
483,PARAMEDIC I/C,FIRE,"76235.47341914715,105924.52658085285",28500
484,SENIOR BUDGET ANALYST,BUDGET & MGMT,"60155.47341914715,89844.52658085285",3230
485,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",2200
486,LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",26800
487,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",27310
488,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",31510
489,BRIDGE OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",33820
490,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",3250
491,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",28120
492,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33230
493,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1240
494,MACHINIST,WATER MGMNT,"81563.47341914715,111252.52658085285",1230
495,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",2270
496,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",32730
497,CIVIL ENGINEER III,WATER MGMNT,"85931.47341914715,115620.52658085285",31130
498,LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",51170
499,AIRPORT MAINTENANCE FOREMAN,AVIATION,"60155.47341914715,89844.52658085285",32550
500,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",29400
501,ADMINISTRATIVE ASST II,BUILDINGS,"60155.47341914715,89844.52658085285",2600
502,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",26740
503,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",33720
504,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1420
505,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",20220
506,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",2270
507,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",8400
508,ASST DEPUTY CHIEF PARAMEDIC,FIRE,"141515.47341914714,171204.52658085286",1250
509,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"86135.47341914715,115824.52658085285",30190
510,ADMINISTRATIVE ASST III,PUBLIC LIBRARY,"65723.47341914715,95412.52658085285",33390
511,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",8600
512,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",2840
513,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",4370
514,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",30340
515,ASST TO THE ALDERMAN,CITY COUNCIL,"65195.47341914715,94884.52658085285",27160
516,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",1310
517,OPERATING ENGINEER-GROUP C,WATER MGMNT,"78901.07341914716,108590.12658085286",20234
518,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",30220
519,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",32450
520,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",2270
521,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",29380
522,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",29246
523,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",1510
524,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31210
525,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",28800
526,AUDITOR II,FINANCE,"77543.47341914715,107232.52658085285",28120
527,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28160
528,SUPERVISING CLERK,FINANCE,"65723.47341914715,95412.52658085285",6440
529,ADMINISTRATIVE ASST III,OEMC,"60155.47341914715,89844.52658085285",26310
530,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,"82211.47341914715,111900.52658085285",30700
531,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2290
532,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",3150
533,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",26770
534,PAYROLL ADMINISTRATOR,FINANCE,"87503.47341914715,117192.52658085285",3370
535,FILTRATION ENGINEER II,WATER MGMNT,"60155.47341914715,89844.52658085285",8130
536,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32600
537,LIEUTENANT,FIRE,"100001.47341914715,129690.52658085285",9230
538,ADMINISTRATIVE ASST III - EXCLUDED,COMMUNITY DEVELOPMENT,"60155.47341914715,89844.52658085285",27320
539,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",2360
540,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32230
541,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"76235.47341914715,105924.52658085285",7140
542,ASST CITY TREASURER,TREASURER,"72725.47341914715,102414.52658085285",28240
543,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"86135.47341914715,115824.52658085285",31260
544,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31210
545,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,"64859.47341914715,94548.52658085285",1210
546,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",9320
547,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",7120
548,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",27230
549,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",2220
550,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",9140
551,DIR OF LIBRARY - PROGRAMS AND EXHIBITS,PUBLIC LIBRARY,"95519.47341914715,125208.52658085285",50300
552,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",6340
553,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",33350
554,COORDINATING PLANNER,TRANSPORTN,"81875.47341914715,111564.52658085285",52700
555,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",51290
556,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1480
557,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33240
558,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",33990
559,COORD OF SPECIAL PROJECTS,BUSINESS AFFAIRS,"78455.47341914715,108144.52658085285",1100
560,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,"101891.47341914715,131580.52658085286",2340
561,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",31260
562,ACCOUNTANT IV,FINANCE,"60155.47341914715,89844.52658085285",27210
563,ADMINISTRATIVE ASST II,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",33920
564,TESTING SPECIALIST,HUMAN RESOURCES,"60155.47341914715,89844.52658085285",31400
565,ADMINISTRATIVE ASST II,LAW,"60155.47341914715,89844.52658085285",20272
566,STAFF ASST,FAMILY & SUPPORT,"77747.47341914715,107436.52658085285",7700
567,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",31530
568,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",32190
569,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",33690
570,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",29710
571,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",5290
572,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",26400
573,CENTRAL VOUCHER COORDINATOR,FINANCE,"60155.47341914715,89844.52658085285",20110
574,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33180
575,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31440
576,BATTALION CHIEF - EMT,FIRE,"134657.47341914714,164346.52658085286",27400
